id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Ricardo;Nogueira;Pedro.Martins@gmail.com;forenenst sweetly;2024-09-20T09:32:08;30419;23946
2;Cauã;Batista;Helena_Pereira@yahoo.com;in failing;2024-09-20T10:33:59;19696;28946
3;Melissa;Albuquerque;Frederico.Silva0@gmail.com;grid mmm curtsy;2024-09-20T04:32:21;27521;11018
4;Eloá;Macedo;Davi_Moreira@yahoo.com;within huzzah;2024-09-20T08:33:53;23553;6900
5;Alícia;Braga;Esther_Saraiva41@gmail.com;mostly on oof;2024-09-20T02:22:12;17717;20160
6;Carlos;Silva;Maite36@bol.com.br;login;2024-09-20T07:50:36;9193;11505
7;Gustavo;Albuquerque;Talita5@gmail.com;for;2024-09-20T12:31:57;10001;10426
8;Roberta;Xavier;Alexandre_Melo@gmail.com;hence gullible;2024-09-20T19:57:43;178;27656
9;João Miguel;Batista;Gustavo.Nogueira@hotmail.com;suspiciously;2024-09-20T08:43:18;17020;13836
10;Melissa;Albuquerque;Maite.Albuquerque34@hotmail.com;those archer;2024-09-20T15:14:18;16425;5294
